Material_ID,Formula,element_A,element_Aprime,element_B,element_Bprime,Formation_Energy_eV_atom,Energy_Above_Hull_eV,Band_Gap_eV,Total_Magnetization_uB,Volume_A3,Density_g_cm3,Space_Group_Symbol,Space_Group_Number,EN_A,EN_Aprime,EN_B,EN_Bprime,EN_O,EN_avg,Shannon_A,Shannon_Aprime,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Val_A,Val_Aprime,Val_B,Val_Bprime,Val_avg,Total_A_Charge,Group_B,Group_Bprime,Sum_Ox_B_Bprime,Ox_B,Ox_Bprime,d_electrons_B,d_electrons_Bprime,Total_d_electrons,Spin_Proxy_Distance,HS_moment_B,HS_moment_Bprime,Total_HS_FM,Total_HS_FiM,d_AO,d_BO,d_BprimeO,d_avg,E_GNN,M_net,M_abs
mp-1080670,Sr2LaCoO6,Sr,Sr,La,Co,-2.4582152535000006,0.17010349866667163,0.0,1.9999919,144.86354168982137,5.376904793315693,Fm-3m,225,0.95,0.95,1.1,1.88,3.44,1.49,1.18,1.18,1.032,0.65,0.8140720640166411,0.4542211652794293,2,2,4,9,6.5,4,3,9,8,2.5,5.5,0.5,3.5,4.0,1.0,0.5,3.5,4.0,3.0,2.58,2.432,2.05,2.2409999999999997,-2.455630829860496,1.9999919,4.0
mp-1080719,Sr2YTaO6,Sr,Sr,Y,Ta,-3.569693758733333,0.017271496499999373,3.8257999999999996,0.0,140.72483798820875,6.384809629322768,I4/m,87,0.95,0.95,1.22,1.5,3.44,1.3599999999999999,1.18,1.18,0.9,0.72,0.8254911744168745,0.22222222222222227,2,2,3,5,4.0,4,3,5,8,3.5,4.5,0.0,0.5,0.5,4.5,0.0,0.5,0.5,0.5,2.58,2.3,2.12,2.21,-3.567505862841235,0.0,0.5
mp-1080738,Sn2MoOsO6,Sn,Sn,Mo,Os,-1.428745165,0.44221059449999967,0.0,0.0099066,133.54293986087288,7.704244229184739,Fm-3m,225,1.96,1.96,2.16,2.2,3.44,2.18,0.69,0.69,0.69,0.63,0.7174044527572254,0.09090909090909083,2,2,6,8,7.0,4,6,8,8,3.5,4.5,2.5,3.5,6.0,1.0,2.5,3.5,6.0,1.0,2.09,2.09,2.03,2.0599999999999996,-1.4142298325220262,0.0099066,6.0
mp-1080730,Sr2ZrMnO6,Sr,Sr,Zr,Mn,-3.0756113137931047,0.004860288999999796,1.5056000000000003,0.0,258.54663812495295,5.361558210584693,Fm-3m,225,0.95,0.95,1.33,1.55,3.44,1.44,1.18,1.18,0.72,0.67,0.870804532439758,0.07194244604316537,2,2,4,7,5.5,4,4,7,8,3.25,4.75,0.75,2.25,3.0,2.0,0.75,2.25,3.0,1.5,2.58,2.12,2.07,2.0949999999999998,-3.0659911291583706,0.0,3.0
mp-1080753,NaPb2IO6,Pb,Pb,Na,I,-1.33546270663793,0.04049648900000058,2.6086,1.33e-05,142.1552226740244,7.7129660292597295,Fm-3m,225,1.8,1.8,0.93,2.66,3.44,1.7950000000000002,1.19,1.19,1.02,2.2,0.6084407186954013,0.7329192546583851,2,2,4,4,4.0,4,4,4,8,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.59,2.42,3.6,3.01,-1.3309850261523475,1.33e-05,1.33e-05
mp-1080742,Sr2ZrCrO6,Sr,Sr,Zr,Cr,-3.11760866075,0.03537113696875238,0.0,1.91e-05,523.3911109862939,5.259708819440491,Fm-3m,225,0.95,0.95,1.33,1.66,3.44,1.495,1.18,1.18,0.72,0.73,0.8585108213935494,0.013793103448275874,2,2,4,6,5.0,4,4,6,8,3.5,4.5,0.5,1.5,2.0,3.0,0.5,1.5,2.0,1.0,2.58,2.12,2.13,2.125,-3.1334181498589064,1.91e-05,2.0
mp-1080787,Sr2GdRuO6,Sr,Sr,Gd,Ru,-2.2427773600000003,0.5855154339999995,0.0,3.9999872,139.09460786441048,6.32194953418911,C2/m,12,0.95,0.95,1.2,2.2,3.44,1.7000000000000002,1.18,1.18,0.938,0.68,0.8258648689277016,0.318912237330037,2,2,4,8,6.0,4,4,8,8,3.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,2.58,2.338,2.08,2.209,-2.23334799285728,3.9999872,4.0
mp-1080812,TmSb(PbO3)2,Pb,Pb,Tm,Sb,-2.318154242,0.011623055843744012,2.731,3.6e-06,144.33756040914176,9.21618913246993,R-3,148,1.8,1.8,1.25,2.05,3.44,1.65,1.19,1.19,1.03,0.76,0.7979985025155373,0.3016759776536313,2,2,4,5,4.5,4,4,15,8,1.25,6.75,2.75,8.25,11.0,6.0,2.75,1.75,4.5,1.0,2.59,2.4299999999999997,2.16,2.295,-2.2805137520704992,3.6e-06,4.5
mp-1084749,TiZn(BiO3)2,Bi,Bi,Ti,Zn,-1.965331641333335,0.29017297349999716,0.0,0.0065084,123.73452933376511,8.417579470595612,P4/mmm,123,1.9,1.9,1.54,1.65,3.44,1.595,1.03,1.03,0.86,0.74,0.7810315810378682,0.15,3,3,4,12,8.0,6,4,12,6,1.0,5.0,3.0,7.0,10.0,5.0,3.0,3.0,6.0,0.0,2.4299999999999997,2.26,2.1399999999999997,2.1999999999999997,-1.9384232404102355,0.0065084,6.0
mp-1080842,Ba2UPbO6,Ba,Ba,U,Pb,-3.040996817999999,0.028178937249997205,1.1945999999999994,3.04e-05,184.99056940624502,7.3236137070496286,Fm-3m,225,0.89,0.89,1.7,1.8,3.44,1.75,1.35,1.35,1.025,1.19,0.7754909863461639,0.14898419864559823,2,2,4,4,4.0,4,4,4,8,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.75,2.425,2.59,2.5075,-3.0091330854672114,3.04e-05,3.04e-05
